filing_date,fiscal_period,fiscal_year,start_date,end_date,cik,company_name,revenues,cost_of_revenue,gross_profit,operating_expenses,operating_income,net_income,diluted_eps,basic_eps,total_assets,current_assets,noncurrent_assets,total_liabilities,current_liabilities,noncurrent_liabilities,stockholders_equity,retained_earnings,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,gross_profit_margin,operating_margin,net_profit_margin,current_ratio,debt_to_assets,debt_to_equity,roe,roa
2019-05-01,Q2,2019,2018-12-30,2019-03-30,0000320193,APPLE INC,58015000000.0,36194000000.0,21821000000.0,8406000000.0,13415000000.0,11561000000.0,2.46,2.47,341998000000.0,123346000000.0,218652000000.0,236138000000.0,93772000000.0,142366000000.0,105860000000.0,105860000000.0,11155000000.0,13348000000.0,-29457000000.0,-4954000000.0,37.61268637421357,23.12333017323106,19.927604929759546,1.3153819903595956,0.6904660261171118,2.2306631399962216,10.921027772529756,3.3804291253165224
2019-07-31,Q3,2019,2019-03-31,2019-06-29,0000320193,APPLE INC,53809000000.0,33582000000.0,20227000000.0,8683000000.0,11544000000.0,10044000000.0,2.18,2.2,322239000000.0,134973000000.0,187266000000.0,225783000000.0,89704000000.0,136079000000.0,96456000000.0,96456000000.0,11636000000.0,27502000000.0,-26804000000.0,12334000000.0,37.590365923916075,21.45366016837332,18.666022412607557,1.504648622135022,0.7006693789392345,2.340787509330679,10.413038069171437,3.11694115237448
2020-01-29,Q1,2020,2019-09-29,2019-12-28,0000320193,Apple Inc.,91819000000.0,56602000000.0,35217000000.0,9648000000.0,25569000000.0,22236000000.0,1.25,1.26,340618000000.0,163231000000.0,177387000000.0,251087000000.0,102161000000.0,148926000000.0,89531000000.0,89531000000.0,30516000000.0,-13668000000.0,-25407000000.0,-8559000000.0,38.35480673934589,27.84717759940753,24.21720994565395,1.5977819324399722,0.7371512955862579,2.804469960125543,24.836090292747766,6.5281341561514665
2020-05-01,Q2,2020,2019-12-29,2020-03-28,0000320193,Apple Inc.,58313000000.0,35943000000.0,22370000000.0,9517000000.0,12853000000.0,11249000000.0,0.64,0.64,320400000000.0,143753000000.0,176647000000.0,241975000000.0,96094000000.0,145881000000.0,78425000000.0,78425000000.0,13311000000.0,9013000000.0,-20940000000.0,1384000000.0,38.36194330595236,22.041397287054345,19.290724195290927,1.4959622869273836,0.7552278401997503,3.0854319413452345,14.34364042078419,3.510923845193508
2020-07-31,Q3,2020,2020-03-29,2020-06-27,0000320193,Apple Inc.,59685000000.0,37005000000.0,22680000000.0,9589000000.0,13091000000.0,11253000000.0,0.65,0.65,317344000000.0,140065000000.0,177279000000.0,245062000000.0,95318000000.0,149744000000.0,72282000000.0,72282000000.0,16271000000.0,-5165000000.0,-19116000000.0,-8010000000.0,37.99949736114602,21.933484124989526,18.85398341291782,1.4694496317589543,0.7722282444287587,3.3903599789712513,15.568191250933843,3.5459942522940406
2021-01-28,Q1,2021,2020-09-27,2020-12-26,0000320193,Apple Inc.,111439000000.0,67111000000.0,44328000000.0,10794000000.0,33534000000.0,28755000000.0,1.68,1.7,354054000000.0,154106000000.0,199948000000.0,287830000000.0,132507000000.0,155323000000.0,66224000000.0,66224000000.0,38763000000.0,-8584000000.0,-32249000000.0,-2070000000.0,39.777815665969726,30.091799100853382,25.803354301456405,1.16300270929083,0.8129550859473413,4.346309495047112,43.420814206330036,8.12164246131946
2021-04-29,Q2,2021,2020-12-27,2021-03-27,0000320193,Apple Inc.,89584000000.0,51505000000.0,38079000000.0,10576000000.0,27503000000.0,23630000000.0,1.4,1.41,337158000000.0,121465000000.0,215693000000.0,267980000000.0,106385000000.0,161595000000.0,69178000000.0,69178000000.0,23981000000.0,-10368000000.0,-11326000000.0,2287000000.0,42.50647437042329,30.700794784782996,26.377478121093052,1.1417493067631714,0.7948202326505673,3.873774899534534,34.15825840585157,7.008583512774426
2021-07-28,Q3,2021,2021-03-28,2021-06-26,0000320193,Apple Inc.,81434000000.0,46179000000.0,35255000000.0,11129000000.0,24126000000.0,21744000000.0,1.3,1.31,329840000000.0,114423000000.0,215417000000.0,265560000000.0,107754000000.0,157806000000.0,64280000000.0,64280000000.0,21094000000.0,3572000000.0,-29396000000.0,-4730000000.0,43.292727853230836,29.626445956234498,26.701377802883318,1.0618909738849602,0.8051176327916566,4.131300560049782,33.82700684505289,6.592287169536745
2022-01-28,Q1,2022,2021-09-26,2021-12-25,0000320193,Apple Inc.,123945000000.0,69702000000.0,54243000000.0,12755000000.0,41488000000.0,34630000000.0,2.1,2.11,381191000000.0,153154000000.0,228037000000.0,309259000000.0,147574000000.0,161685000000.0,71932000000.0,71932000000.0,46966000000.0,-16106000000.0,-28159000000.0,2701000000.0,43.76376618661503,33.47291137197951,27.939812013393038,1.0378115386179136,0.811296699030145,4.299324361897347,48.142690318634266,9.084684580695766
2022-04-29,Q2,2022,2021-12-26,2022-03-26,0000320193,Apple Inc.,97278000000.0,54719000000.0,42559000000.0,12580000000.0,29979000000.0,25010000000.0,1.52,1.54,350662000000.0,118180000000.0,232482000000.0,283263000000.0,127508000000.0,155755000000.0,67399000000.0,67399000000.0,28166000000.0,-9265000000.0,-28351000000.0,-9450000000.0,43.7498715022924,30.817862209338188,25.709821336787353,0.9268438058788468,0.807794970655503,4.2027774892802565,37.107375480348374,7.132224193097627
2022-07-29,Q3,2022,2022-03-27,2022-06-25,0000320193,Apple Inc.,82959000000.0,47074000000.0,35885000000.0,12809000000.0,23076000000.0,19442000000.0,1.2,1.2,336309000000.0,112292000000.0,224017000000.0,278202000000.0,129873000000.0,148329000000.0,58107000000.0,58107000000.0,22892000000.0,4234000000.0,-27445000000.0,-319000000.0,43.25630733253776,27.81615014645789,23.43567304331055,0.8646292916926536,0.8272213946103137,4.7877536269296295,33.45896363605073,5.7809930748210725
2023-02-03,Q1,2023,2022-09-25,2022-12-31,0000320193,Apple Inc.,117154000000.0,66822000000.0,50332000000.0,14316000000.0,36016000000.0,29998000000.0,1.88,1.89,346747000000.0,128777000000.0,217970000000.0,290020000000.0,137286000000.0,152734000000.0,56727000000.0,56727000000.0,34005000000.0,-1445000000.0,-35563000000.0,-3003000000.0,42.96225480990832,30.742441572630895,25.60561312460522,0.9380199000626429,0.8364023336899814,5.1125566308812385,52.88134398082042,8.651264466599567
2023-05-05,Q2,2023,2023-01-01,2023-04-01,0000320193,Apple Inc.,94836000000.0,52860000000.0,41976000000.0,13658000000.0,28318000000.0,24160000000.0,1.52,1.53,332160000000.0,112913000000.0,219247000000.0,270002000000.0,120075000000.0,149927000000.0,62158000000.0,62158000000.0,28560000000.0,2319000000.0,-25724000000.0,5155000000.0,44.261672782487665,29.859968788223878,25.475557805052933,0.9403539454507599,0.8128672928709055,4.343801280607484,38.86868946877313,7.273603082851637
2023-08-04,Q3,2023,2023-04-02,2023-07-01,0000320193,Apple Inc.,81797000000.0,45384000000.0,36413000000.0,13415000000.0,22998000000.0,19881000000.0,1.26,1.27,335038000000.0,122659000000.0,212379000000.0,274764000000.0,124963000000.0,149801000000.0,60274000000.0,60274000000.0,26380000000.0,437000000.0,-24048000000.0,2769000000.0,44.5163025538834,28.115945572576013,24.305292370135824,0.9815625425125837,0.8200980187322036,4.558582473371603,32.984371370740284,5.933953760468961
2024-02-02,Q1,2024,2023-10-01,2023-12-30,0000320193,Apple Inc.,119575000000.0,64720000000.0,54855000000.0,14482000000.0,40373000000.0,33916000000.0,2.18,2.19,353514000000.0,143692000000.0,209822000000.0,279414000000.0,133973000000.0,145441000000.0,74100000000.0,74100000000.0,39895000000.0,1927000000.0,-30585000000.0,11237000000.0,45.87497386577462,33.7637466025507,28.36378841731131,1.072544467915177,0.7903901967107385,3.770769230769231,45.770580296896085,9.593962332467738
2024-05-03,Q2,2024,2023-12-31,2024-03-30,0000320193,Apple Inc.,90753000000.0,48482000000.0,42271000000.0,14371000000.0,27900000000.0,23636000000.0,1.53,1.53,337411000000.0,128416000000.0,208995000000.0,263217000000.0,123822000000.0,139395000000.0,74194000000.0,74194000000.0,22690000000.0,-310000000.0,-30433000000.0,-8053000000.0,46.578074554009234,30.742785362467355,26.044318094167686,1.0371016459110658,0.7801079395751769,3.5476857966951507,31.857023478987518,7.005106531796533
2024-08-02,Q3,2024,2024-03-31,2024-06-29,0000320193,Apple Inc.,85777000000.0,46099000000.0,39678000000.0,14326000000.0,25352000000.0,21448000000.0,1.4,1.4,331612000000.0,125435000000.0,206177000000.0,264904000000.0,131624000000.0,133280000000.0,66708000000.0,66708000000.0,28858000000.0,-127000000.0,-36017000000.0,-7286000000.0,46.2571551814589,29.555708406682445,25.004371801298714,0.9529796997508053,0.7988371952764074,3.97109791929004,32.15206571925406,6.467799717742421
2025-01-31,Q1,2025,2024-09-29,2024-12-28,0000320193,Apple Inc.,124300000000.0,66025000000.0,58275000000.0,15443000000.0,42832000000.0,36330000000.0,2.4,2.41,344085000000.0,133240000000.0,210845000000.0,277327000000.0,144365000000.0,132962000000.0,66758000000.0,66758000000.0,29935000000.0,9792000000.0,-39371000000.0,356000000.0,46.882542236524536,34.458567980691875,29.227674979887368,0.9229383853427077,0.80598398651496,4.154213727193745,54.420443991731325,10.55843759536161
2025-05-02,Q2,2025,2024-12-29,2025-03-29,0000320193,Apple Inc.,95359000000.0,50492000000.0,44867000000.0,15278000000.0,29589000000.0,24780000000.0,1.65,1.65,331233000000.0,118674000000.0,212559000000.0,264437000000.0,144571000000.0,119866000000.0,66796000000.0,66796000000.0,23952000000.0,2917000000.0,-29006000000.0,-2137000000.0,47.050619238876244,31.029058610094484,25.986010759341017,0.8208700223419635,0.7983413488390347,3.958874782921133,37.09802982214504,7.481138654663032
2025-08-01,Q3,2025,2025-03-30,2025-06-28,0000320193,Apple Inc.,94036000000.0,50318000000.0,43718000000.0,15516000000.0,28202000000.0,23434000000.0,1.57,1.57,331495000000.0,122491000000.0,209004000000.0,265665000000.0,141120000000.0,124545000000.0,65830000000.0,65830000000.0,27867000000.0,5073000000.0,-24833000000.0,8107000000.0,46.490705687183635,29.99064188183249,24.920243311072355,0.8679917800453515,0.8014148026365405,4.035622056813003,35.5977517849005,7.069186563899908
