date,Open,High,Low,Close,Volume,VWAP,Transactions
2024-03-08 05:00:00,169.0,173.7,168.94,170.73,76267041.0,171.5322,925213
2024-03-11 04:00:00,172.94,174.38,172.05,172.75,60139473.0,172.9273,793618
2024-03-12 04:00:00,173.15,174.03,171.01,173.23,59825372.0,172.8727,735067
2024-03-13 04:00:00,172.77,173.185,170.76,171.13,52488692.0,171.3457,647120
2024-03-14 04:00:00,172.91,174.3078,172.05,173.0,72913507.0,173.0899,806014
2024-03-15 04:00:00,171.17,172.62,170.285,172.62,121752699.0,171.8002,771387
2024-03-18 04:00:00,175.57,177.71,173.52,173.72,75604184.0,175.4587,866388
2024-03-19 04:00:00,174.34,176.605,173.03,176.08,55215244.0,175.4779,636058
2024-03-20 04:00:00,175.72,178.67,175.09,178.67,53423102.0,177.2239,641653
2024-03-21 04:00:00,177.05,177.49,170.84,171.37,106181270.0,172.7231,1224985
2024-03-22 04:00:00,171.76,173.05,170.06,172.28,71160138.0,172.0462,736379
2024-03-25 04:00:00,170.565,171.94,169.45,170.85,54288328.0,170.7132,727686
2024-03-26 04:00:00,170.0,171.42,169.58,169.71,57388449.0,170.323,684303
2024-03-27 04:00:00,170.41,173.6,170.11,173.31,60273265.0,172.5879,670630
2024-03-28 04:00:00,171.75,172.23,170.51,171.48,65672690.0,171.3943,648027
2024-04-01 04:00:00,171.19,171.25,169.475,170.03,46240500.0,170.0696,676830
2024-04-02 04:00:00,169.08,169.34,168.2302,168.84,49329481.0,168.8968,608917
2024-04-03 04:00:00,168.79,170.68,168.58,169.65,47691715.0,169.8623,571286
2024-04-04 04:00:00,170.29,171.92,168.82,168.82,53704386.0,170.1026,630785
2024-04-05 04:00:00,169.59,170.39,168.95,169.58,42104826.0,169.6415,540854
2024-04-08 04:00:00,169.03,169.2,168.24,168.45,37425513.0,168.6637,549987
2024-04-09 04:00:00,168.7,170.08,168.35,169.67,42451209.0,169.1566,541699
2024-04-10 04:00:00,168.8,169.09,167.11,167.78,49709336.0,167.9913,647589
2024-04-11 04:00:00,168.34,175.46,168.16,175.04,91070275.0,172.6959,828410
2024-04-12 04:00:00,174.26,178.36,174.21,176.55,101670886.0,176.3417,960232
2024-04-15 04:00:00,175.36,176.63,172.5,172.69,73531773.0,174.1333,846772
2024-04-16 04:00:00,171.75,173.76,168.27,169.38,73711235.0,170.0502,834299
2024-04-17 04:00:00,169.61,170.65,168.0,168.0,50901210.0,168.982,599005
2024-04-18 04:00:00,168.03,168.64,166.55,167.04,43122903.0,167.3948,553241
2024-04-19 04:00:00,166.21,166.4,164.075,165.0,68149377.0,165.1473,754775
2024-04-22 04:00:00,165.515,167.26,164.77,165.84,48116443.0,165.9649,610370
2024-04-23 04:00:00,165.35,167.05,164.92,166.9,49537761.0,166.5257,554942
2024-04-24 04:00:00,166.54,169.3,166.21,169.02,48251835.0,168.4404,584990
2024-04-25 04:00:00,169.525,170.61,168.1511,169.89,50558329.0,169.4461,608882
2024-04-26 04:00:00,169.88,171.34,169.18,169.3,44838354.0,169.9936,563912
2024-04-29 04:00:00,173.37,176.03,173.1,173.5,68169419.0,174.3663,808216
2024-04-30 04:00:00,173.33,174.99,170.0,170.33,65934776.0,172.1442,647477
2024-05-01 04:00:00,169.58,172.705,169.11,169.3,50383147.0,170.7269,648630
2024-05-02 04:00:00,172.51,173.415,170.89,173.03,94214915.0,174.524,944120
2024-05-03 04:00:00,186.645,187.0,182.66,183.38,163224109.0,184.3674,1468505
2024-05-06 04:00:00,182.354,184.2,180.42,181.71,78569667.0,181.8679,898764
2024-05-07 04:00:00,183.45,184.9,181.32,182.4,77305771.0,182.7742,747519
2024-05-08 04:00:00,182.85,183.07,181.45,182.74,45057087.0,182.4822,518609
2024-05-09 04:00:00,182.56,184.66,182.11,184.57,48982972.0,184.0047,551005
2024-05-10 04:00:00,184.9,185.09,182.13,183.05,50759496.0,183.0973,558780
2024-05-13 04:00:00,185.435,187.1,184.62,186.28,72044809.0,186.204,726520
2024-05-14 04:00:00,187.51,188.3,186.29,187.43,52393619.0,187.1924,559493
2024-05-15 04:00:00,187.91,190.65,187.37,189.72,70399988.0,189.6539,727615
2024-05-16 04:00:00,190.47,191.095,189.6601,189.84,52845230.0,190.1061,566951
2024-05-17 04:00:00,189.51,190.81,189.18,189.87,41282925.0,189.9231,478193
2024-05-20 04:00:00,189.325,191.9199,189.01,191.04,44361275.0,191.0826,566908
2024-05-21 04:00:00,191.09,192.73,190.9201,192.35,42309401.0,192.2542,502788
2024-05-22 04:00:00,192.265,192.8231,190.27,190.9,34648547.0,191.4301,452377
2024-05-23 04:00:00,190.98,191.0,186.625,186.88,51005924.0,188.1932,574010
2024-05-24 04:00:00,188.82,190.58,188.0404,189.98,36326975.0,189.7193,492870
2024-05-28 04:00:00,191.51,193.0,189.1,189.99,52280051.0,190.8169,702191
2024-05-29 04:00:00,189.61,192.247,189.51,190.29,53068016.0,191.1133,603502
2024-05-30 04:00:00,190.76,192.18,190.63,191.29,49947941.0,191.4032,568984
2024-05-31 04:00:00,191.44,192.57,189.91,192.25,75158277.0,191.6187,618230
2024-06-03 04:00:00,192.9,194.99,192.52,194.03,50080539.0,193.7891,700957
2024-06-04 04:00:00,194.635,195.32,193.0342,194.35,47471445.0,194.3014,575318
2024-06-05 04:00:00,195.4,196.9,194.87,195.87,54156785.0,195.8699,648283
2024-06-06 04:00:00,195.685,196.5,194.17,194.48,41181753.0,195.3149,550123
2024-06-07 04:00:00,194.65,196.94,194.14,196.89,53103912.0,195.9042,505960
